state;postal;city;street;container;note
Niederösterreich;2752;Wöllersdorf;Tirolerbachstr., Sammelstelle;1;
Niederösterreich;2763;Pernitz;Hauptstraße 91;2;
Niederösterreich;2770;Gutenstein;Bahnhof;1;
Niederösterreich;2811;Wiesmath;Hauptplatz 1;1;
Niederösterreich;2821;Lanzenkirchen;Haderswörth, Feuerwehr;1;
Niederösterreich;2821;Lanzenkirchen;Bauhof;1;
Niederösterreich;2840;Hochegg;Parkplatz;1;
Niederösterreich;2840;Grimmenstein;Hauptplatz, Gemeinde;1;
Niederösterreich;2842;Edlitz;Parkplatz;1;
Niederösterreich;2842;Münchendorf;Kirchenplatz;1;
Niederösterreich;2845;Wampersdorf;Kirche;1;
Niederösterreich;2851;Krumbach;Bundesstr., Gärtnerei Pichlbauer;1;
Niederösterreich;2852;Hochneukirchen;Bauhof;1;
Niederösterreich;2853;Bad Schönau;Ödhöfen 8, Fleischhauerei;1;
Niederösterreich;2860;Kirchschlag;Pfarrhof - Passionsspielstraße 3;2;
Niederösterreich;2860;Kirchschlag;Dr.-Bruno-Schimetschkeplatz 1;1;
Niederösterreich;2870;Aspang;Bundesstr.54;3;
Niederösterreich;2872;Mönichkirchen;Mönichkirchen 18, Bauhof;1;
Niederösterreich;2931;Warth;Hauptstraße;1;
Niederösterreich;2931;Wr. Neustadt;Neuklostergasse 1;1;
Niederösterreich;3002;Purkersdorf;Pfarrhofgasse 1;1;
Niederösterreich;2813;Lichtenegg;Hauptstrasse 28;1;
